id,name,totalUnits,residentsCount,lat,lng
389,250 E Houston,115,20,40.7221611,-73.9853425
390,401 E 86th St,229,19,40.7768972,-73.9487946
391,400 W 113th St,406,60,40.8042571,-73.9616521
392,1 N 4th Pl,495,220,40.7197532,-73.9648735
393,3000 Ocean,441,29,40.5774523,-73.9689362
394,500 Fourth,111,37,40.6684089,-73.9907614
395,501 Surf,368,35,40.5755355,-73.9735905
396,150 Myrtle,214,32,40.6932363,-73.9826875
397,1655 Flatbush,601,103,40.630591,-73.9447075
398,3400 Snyder,120,12,40.6488628,-73.944856
399,3901 Nostrand,228,22,40.5894827,-73.9395372
400,80 Dekalb,340,134,40.6896359,-73.9800493
401,550 Vanderbilt Ave,292,50,40.680736,-73.9681389
402,420 E 54th St,387,62,40.7557524,-73.9634014
403,365 Bond St,423,85,40.677702,-73.990455
404,81 Fleet Pl,197,56,40.6932351,-73.9815767
405,107 Columbia Heights,160,80,40.69935,-73.995355
406,100 Jay St,268,64,40.701794,-73.986903
407,2940 Ocean,441,54,40.5794999,-73.9683455
408,123 Linden Blvd,452,341,40.6526096,-73.9543769
409,1277 E 14th St,237,147,40.6186297,-73.9606878
410,110 Livingston,288,47,40.6909831,-73.9899258
411,22 N 6th,361,100,40.7201397,-73.96342
412,189 Schermerhorn,250,28,40.6893716,-73.9866769
413,455 W 37th,385,142,40.7565168,-73.9973261
415,446 Kingston,194,11,40.6632908,-73.9431243
416,70 Remsen,110,24,40.6943112,-73.9957427
417,564-570 Saint John's,199,107,40.6725685,-73.9590807
418,191 Willoughby,183,13,40.6924158,-73.9803752
419,125 Borinquen,125,68,40.7108382,-73.9546131
420,111 Hicks,275,14,40.6980797,-73.9942646
421,725 4th Ave,85,26,40.6611079,-73.9970671
422,115 Morris St,151,70,40.7136753,-74.038917
423,North Independence,163,33,40.7516047,-74.0243377
424,165 E 19th St,108,16,40.6455657,-73.9611011
425,302 96th St,120,12,40.61593,-74.0335829
426,1 Hanson Pl,193,39,40.6852669,-73.9776082
427,1818 Newkirk,126,25,40.6366768,-73.9599775
428,277 Gold,119,66,40.6962574,-73.9827734
429,40 Clinton,146,42,40.6955706,-73.9920527
430,175 Willoughby,183,26,40.6922431,-73.9811282
431,200 Schermerhorn,165,38,40.6885268,-73.9854417
432,601 E 19th,108,17,40.636547,-73.9594021
433,265 State St,126,14,40.6892122,-73.9882785
434,61 Oliver St,132,16,40.6199849,-74.0382285
435,Parkside Brooklyn,250,29,40.6534502,-73.9649363
436,2 W End Ave,120,18,40.5813698,-73.9541356
437,180 Franklin,102,15,40.6932896,-73.9580705
438,7101 Colonial Rd,120,16,40.6352335,-74.0317106
439,330 Lenox Rd,107,13,40.6538288,-73.9485191
441,2665 Homecrest Ave,150,18,40.5861106,-73.9560336
443,15 Bridge Park Dr,117,32,40.6924279,-74.0001737
444,651 Vanderbilt,140,24,40.654461,-73.9744629
445,2 Northside Piers,217,47,40.7196518,-73.964024
446,1625 Emmons,144,24,40.5836263,-73.9518978
448,2425 Nostrand Ave,169,13,40.6254159,-73.9463329
449,395 Leonard,188,212,40.7180621,-73.9484829
452,345 Webster,144,28,40.6339914,-73.9689071
453,635 W 42nd St,459,181,40.7618206,-74.0000589
455,4325 Hunter St,1012,186,40.747748,-73.9425343
456,242 W 53rd St,427,132,40.7636601,-73.9840209
457,70 W 37th St,361,67,40.7514307,-73.985989
458,43-22 Queens St,838,104,40.7473134,-73.9395911
459,38 6th Ave,281,145,40.6821897,-73.9742132
460,200 E 94th St,338,94,40.7835297,-73.9499061
461,330 E 38th St,805,149,40.7462651,-73.972462
462,70 Pine St,610,256,40.7065047,-74.0077715
463,88 Greenwich St,452,138,40.7077981,-74.013828
464,845 United Nations Plaza,444,60,40.7525229,-73.9676966
465,45 Tudor City Pl,380,135,40.7493702,-73.9699861
466,70-25 Yellowstone Blvd,532,26,40.7223681,-73.8495076
467,110-11 Queens Blvd,403,62,40.7201292,-73.8398387
468,61-20 Grand Central Pkwy,380,44,40.7379227,-73.8470718
469,27-17 42nd Rd,182,59,40.7492382,-73.9398856
470,6040 Boulevard E,414,72,40.7848123,-74.0069681
471,10 Halletts Point,396,83,40.7766727,-73.9354838
473,200 Greene St.,720,255,40.719722,-74.0349297
